ts_utc,epoch,road_surface_temp,ambient_temp,dew_point_temp,rel_humidity_at_road_temp,water_film_height,water_film_surface,snow_height,ice_percentage,friction,road_condition,device_status,measurement_status,bt_signal_strength,bt_link_quality,lat,lon,speed_ms,altitude_geoid_m,hacc_m,gps_segment,bracket_s,gps_gap,marwis_session,saturated
2026-07-02T14:53:14.159+00:00,1783003994.159,23.58230400085449,21.63417053222656,20.686412811279297,83.83512878417969,92.16390228271484,37.10189056396485,0.0,0.0,0.8006902933120728,1.0,0.0,0.0,0.0,100.0,44.839139,20.496724,11.32,73.34,3.82,4.0,1.002,0,134859Z,0
2026-07-02T14:53:15.246+00:00,1783003995.246,23.77474594116211,21.623401641845703,20.682205200195312,82.84834289550781,134.54055786132812,46.827598571777344,0.0,0.0,0.7958611249923706,2.0,0.0,0.0,0.0,100.0,44.839118,20.496581,10.329,73.39,3.87,4.0,1.0,0,134859Z,0
2026-07-02T14:53:16.239+00:00,1783003996.239,23.667823791503903,21.61263465881348,20.682205200195312,83.38299560546875,164.2647247314453,54.94560241699219,0.0,0.0,0.7919015884399414,2.0,0.0,0.0,0.0,100.0,44.839099,20.496457,10.074,73.47,3.94,4.0,0.997,0,134859Z,0
2026-07-02T14:53:17.234+00:00,1783003997.234,23.77474594116211,21.601865768432617,20.672388076782227,82.79829406738281,162.2161865234375,54.23316955566406,0.0,0.0,0.7922464609146118,2.0,0.0,0.0,0.0,100.0,44.839078,20.496336,9.875,73.5,3.87,4.0,1.001,0,134859Z,0
2026-07-02T14:53:18.245+00:00,1783003998.245,23.60367584228516,21.59109878540039,20.672388076782227,83.6550521850586,70.01673889160156,31.165416717529297,0.0,0.0,0.8036844730377197,1.0,0.0,0.0,0.0,100.0,44.839055,20.496218,9.494,73.46,3.92,4.0,1.006,0,134859Z,0
2026-07-02T14:53:19.264+00:00,1783003999.264,23.58230400085449,21.58391761779785,20.657615661621094,83.6866455078125,66.80098724365234,30.234935760498047,0.0,0.0,0.804157018661499,1.0,0.0,0.0,-3.0,100.0,44.83903,20.496107,9.041,73.43,3.97,4.0,0.997,0,134859Z,0
2026-07-02T14:53:20.266+00:00,1783004000.266,23.09049415588379,21.57673454284668,20.657615661621094,86.20714569091797,145.93304443359375,49.181243896484375,0.0,0.0,0.7947064638137817,2.0,0.0,0.0,-3.0,100.0,44.839003,20.495999,9.236,73.61,3.93,4.0,0.999,0,134859Z,0
2026-07-02T14:53:21.244+00:00,1783004001.244,22.85595703125,21.580326080322266,20.657615661621094,86.53858184814453,137.4732666015625,47.44232177734375,0.0,0.0,0.7955590486526489,2.0,0.0,0.0,-3.0,100.0,44.838973,20.495886,9.851,73.74,3.88,4.0,0.995,0,134859Z,0
2026-07-02T14:53:22.345+00:00,1783004002.345,22.92010498046875,21.58750915527344,20.66182327270508,87.4617691040039,119.50023651123048,43.56920623779297,0.0,0.0,0.7974686026573181,2.0,0.0,0.0,-3.0,100.0,44.838937,20.495757,10.111,73.79,3.9,4.0,1.008,0,134859Z,0
2026-07-02T14:53:23.365+00:00,1783004003.365,23.04840087890625,21.59469223022461,20.66182327270508,87.12277221679688,140.4186553955078,48.05341720581055,0.0,0.0,0.7952591180801392,2.0,0.0,0.0,-3.0,100.0,44.8389,20.495638,10.149,73.92,3.9,4.0,0.999,0,134859Z,0
2026-07-02T14:53:24.471+00:00,1783004004.471,23.60436248779297,21.60545921325684,20.66182327270508,86.44920349121094,102.76378631591795,39.704833984375,0.0,0.0,0.799388587474823,2.0,0.0,0.0,0.0,100.0,44.838854,20.495507,10.038,74.24,3.87,4.0,0.998,0,134859Z,0
