ts_utc,lat,lon,channel,name,unit,value,status
2026-07-02T13:20:02.194+00:00,,,110,ambient_temp,degC,26.429744720458984,0
2026-07-02T13:20:02.194+00:00,,,120,dew_point_temp,degC,19.520227432250977,0
2026-07-02T13:20:02.194+00:00,,,200,rel_humidity_at_road_temp,%,55.44835662841797,0
2026-07-02T13:20:02.194+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:02.194+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:02.194+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:02.194+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:02.194+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:02.194+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:02.194+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:02.194+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:02.194+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:02.194+00:00,,,4041,bt_link_quality,%,88,0
2026-07-02T13:20:03.109+00:00,,,100,road_surface_temp,degC,29.3724365234375,0
2026-07-02T13:20:03.109+00:00,,,110,ambient_temp,degC,26.429744720458984,0
2026-07-02T13:20:03.109+00:00,,,120,dew_point_temp,degC,19.514179229736328,0
2026-07-02T13:20:03.109+00:00,,,200,rel_humidity_at_road_temp,%,55.42753219604492,0
2026-07-02T13:20:03.109+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:03.109+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:03.109+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:03.109+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:03.109+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:03.109+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:03.109+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:03.109+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:03.109+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:03.109+00:00,,,4041,bt_link_quality,%,88,0
2026-07-02T13:20:04.139+00:00,,,100,road_surface_temp,degC,29.28729248046875,0
2026-07-02T13:20:04.139+00:00,,,110,ambient_temp,degC,26.43387794494629,0
2026-07-02T13:20:04.139+00:00,,,120,dew_point_temp,degC,19.50611114501953,0
2026-07-02T13:20:04.139+00:00,,,200,rel_humidity_at_road_temp,%,55.67264938354492,0
2026-07-02T13:20:04.139+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:04.139+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:04.139+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:04.139+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:04.139+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:04.139+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:04.139+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:04.139+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:04.139+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:04.139+00:00,,,4041,bt_link_quality,%,88,0
2026-07-02T13:20:05.155+00:00,,,100,road_surface_temp,degC,29.35115623474121,0
2026-07-02T13:20:05.155+00:00,,,110,ambient_temp,degC,26.438007354736328,0
2026-07-02T13:20:05.155+00:00,,,120,dew_point_temp,degC,19.4980411529541,0
2026-07-02T13:20:05.155+00:00,,,200,rel_humidity_at_road_temp,%,55.44002914428711,0
2026-07-02T13:20:05.155+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:05.155+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:05.155+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:05.155+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:05.155+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:05.155+00:00,,,900,road_condition,code,0,0
2026-07-02T13:20:05.155+00:00,,,4000,device_status,bitfield,0,0
2026-07-02T13:20:05.155+00:00,,,4001,measurement_status,bitfield,0,0
2026-07-02T13:20:05.155+00:00,,,4040,bt_signal_strength,dBm,0,0
2026-07-02T13:20:05.155+00:00,,,4041,bt_link_quality,%,88,0
2026-07-02T13:20:06.167+00:00,,,100,road_surface_temp,degC,29.3724365234375,0
2026-07-02T13:20:06.167+00:00,,,110,ambient_temp,degC,26.438007354736328,0
2026-07-02T13:20:06.167+00:00,,,120,dew_point_temp,degC,19.49197006225586,0
2026-07-02T13:20:06.167+00:00,,,200,rel_humidity_at_road_temp,%,55.35112762451172,0
2026-07-02T13:20:06.167+00:00,,,600,water_film_height,um,0.0,0
2026-07-02T13:20:06.167+00:00,,,601,water_film_surface,um,0.0,0
2026-07-02T13:20:06.167+00:00,,,612,snow_height,mm,0.0,0
2026-07-02T13:20:06.167+00:00,,,800,ice_percentage,%,0.0,0
2026-07-02T13:20:06.167+00:00,,,820,friction,,0.8200000524520874,0
2026-07-02T13:20:06.167+00:00,,,900,road_condition,code,0,0
